,train_loss,val_loss,train_acc,val_acc
0,1.2938326553062156,1.2387005885442097,0.7044336243912026,0.726570705572764
1,1.2123279924745913,1.1643184820810955,0.7298296358850267,0.7479948997497559
2,1.1446551349427965,1.1018971999486287,0.7492362194591098,0.7630304098129272
3,1.087723935091937,1.0482079188028972,0.7648335143371865,0.7740529775619507
4,1.0369018934391163,1.0028338432312012,0.7763837333078738,0.785387396812439
5,0.993033058113522,0.9620970686276754,0.78667034484722,0.7926350235939026
6,0.9551557766066657,0.9257577459017435,0.7951962197268451,0.801385780175527
7,0.9198341568311056,0.8952598174413046,0.8020656329614145,0.8071918288866679
8,0.8920101280565615,0.8663787444432577,0.8063089472276194,0.8129144310951233
9,0.8650718198882209,0.8410691022872925,0.8104079696867201,0.8180557290712992
10,0.840832633000833,0.8182865977287292,0.8157071118001584,0.8206995725631714
11,0.8184376888804965,0.7975971698760986,0.8192285851196006,0.8238877654075623
12,0.7980646976718196,0.7787992755572001,0.8228627973132663,0.8288102348645529
13,0.7804811685173599,0.7609846790631613,0.8257178399297926,0.8319464524586996
14,0.7638061156979313,0.7452402512232462,0.828782198605714,0.8342278401056925
15,0.748512883981069,0.7301199634869894,0.8315483552438242,0.8364640871683756
16,0.7338348671242043,0.7165251771608988,0.8345365281458255,0.8383406003316244
17,0.7215996163862722,0.7043225169181824,0.8359767463472154,0.840873658657074
18,0.7084837070217839,0.6914969285329183,0.8390738125200625,0.8428158362706503
19,0.6972288952933418,0.6809532245000204,0.839966493624228,0.8451491991678873
